wheelbase,carlength,carwidth,curbweight,cylindernumber,enginesize,boreratio,horsepower,citympg,highwaympg,price
88.6,168.8,64.1,2548,4,130,3.47,111,21,27,13495
88.6,168.8,64.1,2548,4,130,3.47,111,21,27,16500
94.5,171.2,65.5,2823,6,152,2.68,154,19,26,16500
99.8,176.6,66.2,2337,4,109,3.19,102,24,30,13950
99.4,176.6,66.4,2824,5,136,3.19,115,18,22,17450
99.8,177.3,66.3,2507,5,136,3.19,110,19,25,15250
105.8,192.7,71.4,2844,5,136,3.19,110,19,25,17710
105.8,192.7,71.4,2954,5,136,3.19,110,19,25,18920
105.8,192.7,71.4,3086,5,131,3.13,140,17,20,23875
99.5,178.2,67.9,3053,5,131,3.13,160,16,22,17859.167
101.2,176.8,64.8,2395,4,108,3.5,101,23,29,16430
101.2,176.8,64.8,2395,4,108,3.5,101,23,29,16925
101.2,176.8,64.8,2710,6,164,3.31,121,21,28,20970
101.2,176.8,64.8,2765,6,164,3.31,121,21,28,21105
103.5,189,66.9,3055,6,164,3.31,121,20,25,24565
103.5,189,66.9,3230,6,209,3.62,182,16,22,30760
103.5,193.8,67.9,3380,6,209,3.62,182,16,22,41315
110,197,70.9,3505,6,209,3.62,182,15,20,36880
88.4,141.1,60.3,1488,3,61,2.91,48,47,53,5151
94.5,155.9,63.6,1874,4,90,3.03,70,38,43,6295
94.5,158.8,63.6,1909,4,90,3.03,70,38,43,6575
93.7,157.3,63.8,1876,4,90,2.97,68,37,41,5572
93.7,157.3,63.8,1876,4,90,2.97,68,31,38,6377
93.7,157.3,63.8,2128,4,98,3.03,102,24,30,7957
93.7,157.3,63.8,1967,4,90,2.97,68,31,38,6229
93.7,157.3,63.8,1989,4,90,2.97,68,31,38,6692
93.7,157.3,63.8,1989,4,90,2.97,68,31,38,7609
93.7,157.3,63.8,2191,4,98,3.03,102,24,30,8558
103.3,174.6,64.6,2535,4,122,3.34,88,24,30,8921
95.9,173.2,66.3,2811,4,156,3.6,145,19,24,12964
86.6,144.6,63.9,1713,4,92,2.91,58,49,54,6479
86.6,144.6,63.9,1819,4,92,2.91,76,31,38,6855
93.7,150,64,1837,4,79,2.91,60,38,42,5399
93.7,150,64,1940,4,92,2.91,76,30,34,6529
93.7,150,64,1956,4,92,2.91,76,30,34,7129
96.5,163.4,64,2010,4,92,2.91,76,30,34,7295
96.5,157.1,63.9,2024,4,92,2.92,76,30,34,7295
96.5,167.5,65.2,2236,4,110,3.15,86,27,33,7895
96.5,167.5,65.2,2289,4,110,3.15,86,27,33,9095
96.5,175.4,65.2,2304,4,110,3.15,86,27,33,8845
96.5,175.4,62.5,2372,4,110,3.15,86,27,33,10295
96.5,175.4,65.2,2465,4,110,3.15,101,24,28,12945
96.5,169.1,66,2293,4,110,3.15,100,25,31,10345
94.3,170.7,61.8,2337,4,111,3.31,78,24,29,6785
94.5,155.9,63.6,1874,4,90,3.03,70,38,43,8916.5
94.5,155.9,63.6,1909,4,90,3.03,70,38,43,8916.5
96,172.6,65.2,2734,4,119,3.43,90,24,29,11048
113,199.6,69.6,4066,6,258,3.63,176,15,19,32250
113,199.6,69.6,4066,6,258,3.63,176,15,19,35550
102,191.7,70.6,3950,12,326,3.54,262,13,17,36000
93.1,159.1,64.2,1890,4,91,3.03,68,30,31,5195
93.1,159.1,64.2,1900,4,91,3.03,68,31,38,6095
93.1,159.1,64.2,1905,4,91,3.03,68,31,38,6795
93.1,166.8,64.2,1945,4,91,3.03,68,31,38,6695
93.1,166.8,64.2,1950,4,91,3.08,68,31,38,7395
95.3,169,65.7,2380,2,70,3.33,101,17,23,10945
95.3,169,65.7,2380,2,70,3.33,101,17,23,11845
95.3,169,65.7,2385,2,70,3.33,101,17,23,13645
95.3,169,65.7,2500,2,80,3.33,135,16,23,15645
98.8,177.8,66.5,2385,4,122,3.39,84,26,32,8845
98.8,177.8,66.5,2410,4,122,3.39,84,26,32,8495
98.8,177.8,66.5,2385,4,122,3.39,84,26,32,10595
98.8,177.8,66.5,2410,4,122,3.39,84,26,32,10245
98.8,177.8,66.5,2443,4,122,3.39,64,36,42,10795
98.8,177.8,66.5,2425,4,122,3.39,84,26,32,11245
104.9,175,66.1,2670,4,140,3.76,120,19,27,18280
104.9,175,66.1,2700,4,134,3.43,72,31,39,18344
110,190.9,70.3,3515,5,183,3.58,123,22,25,25552
110,190.9,70.3,3750,5,183,3.58,123,22,25,28248
106.7,187.5,70.3,3495,5,183,3.58,123,22,25,28176
115.6,202.6,71.7,3770,5,183,3.58,123,22,25,31600
115.6,202.6,71.7,3740,8,234,3.46,155,16,18,34184
96.6,180.3,70.5,3685,8,234,3.46,155,16,18,35056
120.9,208.1,71.7,3900,8,308,3.8,184,14,16,40960
112,199.2,72,3715,8,304,3.8,184,14,16,45400
102.7,178.4,68,2910,4,140,3.78,175,19,24,16503
93.7,157.3,64.4,1918,4,92,2.97,68,37,41,5389
93.7,157.3,64.4,1944,4,92,2.97,68,31,38,6189
93.7,157.3,64.4,2004,4,92,2.97,68,31,38,6669
93,157.3,63.8,2145,4,98,3.03,102,24,30,7689
96.3,173,65.4,2370,4,110,3.17,116,23,30,9959
96.3,173,65.4,2328,4,122,3.35,88,25,32,8499
95.9,173.2,66.3,2833,4,156,3.58,145,19,24,12629
95.9,173.2,66.3,2921,4,156,3.59,145,19,24,14869
95.9,173.2,66.3,2926,4,156,3.59,145,19,24,14489
96.3,172.4,65.4,2365,4,122,3.35,88,25,32,6989
96.3,172.4,65.4,2405,4,122,3.35,88,25,32,8189
96.3,172.4,65.4,2403,4,110,3.17,116,23,30,9279
96.3,172.4,65.4,2403,4,110,3.17,116,23,30,9279
94.5,165.3,63.8,1889,4,97,3.15,69,31,37,5499
94.5,165.3,63.8,2017,4,103,2.99,55,45,50,7099
94.5,165.3,63.8,1918,4,97,3.15,69,31,37,6649
94.5,165.3,63.8,1938,4,97,3.15,69,31,37,6849
94.5,170.2,63.8,2024,4,97,3.15,69,31,37,7349
94.5,165.3,63.8,1951,4,97,3.15,69,31,37,7299
94.5,165.6,63.8,2028,4,97,3.15,69,31,37,7799
94.5,165.3,63.8,1971,4,97,3.15,69,31,37,7499
94.5,170.2,63.8,2037,4,97,3.15,69,31,37,7999
95.1,162.4,63.8,2008,4,97,3.15,69,31,37,8249
97.2,173.4,65.2,2324,4,120,3.33,97,27,34,8949
97.2,173.4,65.2,2302,4,120,3.33,97,27,34,9549
100.4,181.7,66.5,3095,6,181,3.43,152,17,22,13499
100.4,184.6,66.5,3296,6,181,3.43,152,17,22,14399
100.4,184.6,66.5,3060,6,181,3.43,152,19,25,13499
91.3,170.7,67.9,3071,6,181,3.43,160,19,25,17199
91.3,170.7,67.9,3139,6,181,3.43,200,17,23,19699
99.2,178.5,67.9,3139,6,181,3.43,160,19,25,18399
107.9,186.7,68.4,3020,4,120,3.46,97,19,24,11900
107.9,186.7,68.4,3197,4,152,3.7,95,28,33,13200
114.2,198.9,68.4,3230,4,120,3.46,97,19,24,12440
114.2,198.9,68.4,3430,4,152,3.7,95,25,25,13860
107.9,186.7,68.4,3075,4,120,3.46,95,19,24,15580
107.9,186.7,68.4,3252,4,152,3.7,95,28,33,16900
114.2,198.9,68.4,3285,4,120,3.46,95,19,24,16695
114.2,198.9,68.4,3485,4,152,3.7,95,25,25,17075
107.9,186.7,68.4,3075,4,120,3.46,97,19,24,16630
107.9,186.7,68.4,3252,4,152,3.7,95,28,33,17950
108,186.7,68.3,3130,4,134,3.61,142,18,24,18150
93.7,157.3,63.8,1918,4,90,2.97,68,37,41,5572
93.7,157.3,63.8,2128,4,98,3.03,102,24,30,7957
93.7,157.3,63.8,1967,4,90,2.97,68,31,38,6229
93.7,167.3,63.8,1989,4,90,2.97,68,31,38,6692
93.7,167.3,63.8,2191,4,98,2.97,68,31,38,7609
103.3,174.6,64.6,2535,4,122,3.35,88,24,30,8921
95.9,173.2,66.3,2818,4,156,3.59,145,19,24,12764
94.5,168.9,68.3,2778,4,151,3.94,143,19,27,22018
89.5,168.9,65,2756,6,194,3.74,207,17,25,32528
89.5,168.9,65,2756,6,194,3.74,207,17,25,34028
89.5,168.9,65,2800,6,194,3.74,207,17,25,37028
98.4,175.7,72.3,3366,8,203,3.94,288,17,28,31400.5
96.1,181.5,66.5,2579,4,132,3.46,90,23,31,9295
96.1,176.8,66.6,2460,4,132,3.46,90,23,31,9895
99.1,186.6,66.5,2658,4,121,3.54,110,21,28,11850
99.1,186.6,66.5,2695,4,121,3.54,110,21,28,12170
99.1,186.6,66.5,2707,4,121,2.54,110,21,28,15040
99.1,186.6,66.5,2758,4,121,3.54,110,21,28,15510
99.1,186.6,66.5,2808,4,121,3.54,160,19,26,18150
99.1,186.6,66.5,2847,4,121,3.54,160,19,26,18620
93.7,156.9,63.4,2050,4,97,3.62,69,31,36,5118
93.7,157.9,63.6,2120,4,108,3.62,73,26,31,7053
93.3,157.3,63.8,2240,4,108,3.62,73,26,31,7603
97.2,172,65.4,2145,4,108,3.62,82,32,37,7126
97.2,172,65.4,2190,4,108,3.62,82,28,33,7775
97.2,172,65.4,2340,4,108,3.62,94,26,32,9960
97,172,65.4,2385,4,108,3.62,82,24,25,9233
97,172,65.4,2510,4,108,3.62,111,24,29,11259
97,173.5,65.4,2290,4,108,3.62,82,28,32,7463
97,173.5,65.4,2455,4,108,3.62,94,25,31,10198
96.9,173.6,65.4,2420,4,108,3.62,82,23,29,8013
96.9,173.6,65.4,2650,4,108,3.62,111,23,23,11694
95.7,158.7,63.6,1985,4,92,3.05,62,35,39,5348
95.7,158.7,63.6,2040,4,92,3.05,62,31,38,6338
95.7,158.7,63.6,2015,4,92,3.05,62,31,38,6488
95.7,169.7,63.6,2280,4,92,3.05,62,31,37,6918
95.7,169.7,63.6,2290,4,92,3.05,62,27,32,7898
95.7,169.7,63.6,3110,4,92,3.05,62,27,32,8778
95.7,166.3,64.4,2081,4,98,3.19,70,30,37,6938
95.7,166.3,64.4,2109,4,98,3.19,70,30,37,7198
95.7,166.3,64.4,2275,4,110,3.27,56,34,36,7898
95.7,166.3,64.4,2275,4,110,3.27,56,38,47,7788
95.7,166.3,64.4,2094,4,98,3.19,70,38,47,7738
95.7,166.3,64.4,2122,4,98,3.19,70,28,34,8358
95.7,166.3,64.4,2140,4,98,3.19,70,28,34,9258
94.5,168.7,64,2169,4,98,3.19,70,29,34,8058
94.5,168.7,64,2204,4,98,3.19,70,29,34,8238
94.5,168.7,64,2265,4,98,3.24,112,26,29,9298
94.5,168.7,64,2300,4,98,3.24,112,26,29,9538
98.4,176.2,65.6,2540,4,146,3.62,116,24,30,8449
98.4,176.2,65.6,2536,4,146,3.62,116,24,30,9639
98.4,176.2,65.6,2551,4,146,3.62,116,24,30,9989
98.4,176.2,65.6,2679,4,146,3.62,116,24,30,11199
98.4,176.2,65.6,2714,4,146,3.62,116,24,30,11549
98.4,176.2,65.6,2975,4,146,3.62,116,24,30,17669
102.4,175.6,66.5,2326,4,122,3.31,92,29,34,8948
102.4,175.6,66.5,2480,4,110,3.27,73,30,33,10698
102.4,175.6,66.5,2414,4,122,3.31,92,27,32,9988
102.4,175.6,66.5,2414,4,122,3.31,92,27,32,10898
102.4,175.6,66.5,2458,4,122,3.31,92,27,32,11248
102.9,183.5,67.7,2976,6,171,3.27,161,20,24,16558
102.9,183.5,67.7,3016,6,171,3.27,161,19,24,15998
104.5,187.8,66.5,3131,6,171,3.27,156,20,24,15690
104.5,187.8,66.5,3151,6,161,3.27,156,19,24,15750
97.3,171.7,65.5,2261,4,97,3.01,52,37,46,7775
97.3,171.7,65.5,2209,4,109,3.19,85,27,34,7975
97.3,171.7,65.5,2264,4,97,3.01,52,37,46,7995
97.3,171.7,65.5,2212,4,109,3.19,85,27,34,8195
97.3,171.7,65.5,2275,4,109,3.19,85,27,34,8495
97.3,171.7,65.5,2319,4,97,3.01,68,37,42,9495
97.3,171.7,65.5,2300,4,109,3.19,100,26,32,9995
94.5,159.3,64.2,2254,4,109,3.19,90,24,29,11595
94.5,165.7,64,2221,4,109,3.19,90,24,29,9980
100.4,180.2,66.9,2661,5,136,3.19,110,19,24,13295
100.4,180.2,66.9,2579,4,97,3.01,68,33,38,13845
100.4,183.1,66.9,2563,4,109,3.19,88,25,31,12290
104.3,188.8,67.2,2912,4,141,3.78,114,23,28,12940
104.3,188.8,67.2,3034,4,141,3.78,114,23,28,13415
104.3,188.8,67.2,2935,4,141,3.78,114,24,28,15985
104.3,188.8,67.2,3042,4,141,3.78,114,24,28,16515
104.3,188.8,67.2,3045,4,130,3.62,162,17,22,18420
104.3,188.8,67.2,3157,4,130,3.62,162,17,22,18950
109.1,188.8,68.9,2952,4,141,3.78,114,23,28,16845
109.1,188.8,68.8,3049,4,141,3.78,160,19,25,19045
109.1,188.8,68.9,3012,6,173,3.58,134,18,23,21485
109.1,188.8,68.9,3217,6,145,3.01,106,26,27,22470
109.1,188.8,68.9,3062,4,141,3.78,114,19,25,22625
